No,Chapter,SayTarget,Content1(Korea),Content2(English),Content3
0,0,CutScene,망망대해의 작은 섬에는 코코시들이 살고 있었다네.\그들은 고래 신의 수호를 받으며 평화롭고 풍요롭게 살아갔지.,,
1,0,CutScene,어느 날 고래 신의 힘을 탐내던 어리석은 생명체들은\어린 코코시들을 납치하고 고래 신의 힘을 빼앗았네.,,
2,0,CutScene,납치된 코코시들과 고래 신을 구하기 위해 모험을 떠난 위대한 영웅.\타부티의 이야기를 들어보겠나?,,
3,1,족장 코코시,타부티. 드디어 너의 여정이 시작되는구나.\정체를 알 수 없는 생명체가 <#ee6c07>어린 코코시들을 납치</color>했다는 사실은 알고 있을게야.,,
4,1,족장 코코시,고래 신님 또한 다치시면서 섬이 위태로워지기 시작했다네.\나 역시 마을의 안정을 위해 멀리 벗어날 수 없는 노릇이지.,,
5,1,족장 코코시,고래 신님이 남겨주신 <#ee6c07>빛의 조각</color>이 길잡이가 되어 줄게다.\큰 위험에 빠지게 될 때마다 분명 도움이 될게야.,,
6,1,족장 코코시,그러니 빛의 조각을 따라 고래 신님을 구하러 가거라.\너의 여정을 위해 기도하고 있으마.,,
7,2,초이 코코시,강한 바람에 말썽쟁이들이 건너편으로 날아가 버렸어! 코코\고래 신님이 다치셔서 그런 것 같아. 코코,,
8,2,초이 코코시,큰 일이 생기기 전에 <#ee6c07>말썽쟁이들을 바구니에 넣어 줘.</color> 코코\그러면 숲을 빠져나갈 수 있게 길을 열어줄게! 코코,,
9,3,미니 코코시,고래 신의 힘이 불안정해지면서  <#ee6c07>중력이 많이 망가졌어.</color> 코코\떨어지지 않도록 조심하는게 좋을 것 같아. 코코,,
10,3,미니 코코시,저 길 너머에 <#ee6c07>이상한 괴물</color>이 있으니 무찔러줘. 코코!,,
11,4,신입 코코시,여긴 우리의 임시 초소야. 우연히 발견했지. 코코\옆의 벽화가 보이지? 아마 이 섬이 위험에 빠지게 된 사건의 단서일지도 몰라. 코코!,,
12,4,신입 코코시,저 너머에 뭐가 있을지는 모르겠지만 <#ee6c07>위험한 기운</color>이 느껴져. 코코,,
13,4,신입 코코시,이 곳에는 <#ee6c07>하늘을 나는 나뭇잎</color>이 있으니. 그걸 이용하면 저 너머까지 이동할 수 있을거야. 코코,,
14,5,고래 신,...나를 구한게 그대인가?\나는 이 섬의 평화와 안정을 위해 모든 것을 지켜오고 있었다네. 하지만 뿔을 잃은 뒤로는 섬을 지키지 못했지. ,,
15,5,고래 신,하지만 그대가 내 뿔을 찾아준 덕분에 힘을 되찾을 수 있었다네.\나를 구해줘서. 그리고 이 섬을 구해줘서 고마울 따름이야.,,
16,5,고래 신,지혜롭고 용감한 자여. 이번 일을 잊지 말고 가슴에 새겨두고 살아가길 바란다.\그대의 곁에는 늘 내가 함께할테니...,,
17,9001,물비 코코시,이 기분을 어떻게 전해야 할까...\걱정이야...,,
