Number,Chapter,sayTarget,Wait,Content
0,0,null,0,평화로웠던 섬에 거센 파도가 몰아치기 시작했습니다.
1,0,null,0,코코시들은 파도를 피하기 위해 마을을 버리고 높은 절벽으로 올라갔습니다.
2,0,null,0,하지만 괴물같은 파도는 절벽을 넘어 그들을 삼키려 했습니다.
3,0,null,0,그때 고래가 등장하고 파도를 잠재웠습니다.
4,0,null,0,고래는 보금자리를 잃고 나약해진 코코시에게 힘을 나눠줬습니다.
5,0,null,1,코코시들은 해변을 버리고 새로운 보금자리를 찾아 숲으로 떠났습니다.
6,1,Chief,0,타부티야 어서오거라.
7,1,Chief,0,고래님에게 무슨 일이 생긴 것 같구나
8,1,Chief,0,고래님에게 받은 힘을 숲에 꽃 형태로 숨겨 놨다
9,1,Chief,0,숨겨진 꽃을 모아 고래님을 찾아가거라
10,1,Chief,0,그리고 고래님의 힘으로 용기의 구슬을 섬에 뿌려 놨다
11,1,Chief,0,그것을 따라가면 길을 찾는데 문제없을거야.
12,1,Chief,0,섬을 유지하던 힘이 약해진 상태인 것 같구나
13,1,Chief,1,무슨일이 생길지 모르니 조심하거라
14,2,CocosiNPC,1,여기야 여기!!!!
15,2,CocosiNPC,0,마을로 이동되는 바구니가 있어.
16,2,CocosiNPC,1,아기를 찾아서 넣어줘.
